Year,x,q(x),l(x),d(x),L(x),T(x),e(x),D(x),M(x),A(x),N(x),a(x),12a(x)
2015,0,0.005145,100000,515,99547,8136028,81.36,100000,12622,0.1262,3323611,33.2361,393.33 
2015,1,0.000334,99485,33,99469,8036481,80.78,96870,12121,0.1251,3223611,33.2777,393.83 
2015,2,0.000218,99452,22,99441,7937012,79.81,94292,12089,0.1282,3126741,33.1603,392.42 
2015,3,0.000163,99431,16,99423,7837571,78.82,91793,12069,0.1315,3032450,33.0358,390.93 
2015,4,0.000122,99414,12,99408,7738148,77.84,89365,12055,0.1349,2940657,32.9061,389.37 
2015,5,0.000109,99402,11,99397,7638740,76.85,87005,12044,0.1384,2851292,32.7716,387.76 
2015,6,0.000100,99391,10,99386,7539343,75.86,84708,12035,0.1421,2764287,32.6330,386.10 
2015,7,0.000093,99381,9,99377,7439957,74.86,82473,12027,0.1458,2679579,32.4903,384.38 
2015,8,0.000088,99372,9,99368,7340580,73.87,80297,12019,0.1497,2597105,32.3436,382.62 
2015,9,0.000084,99363,8,99359,7241212,72.88,78179,12012,0.1536,2516808,32.1927,380.81 
2015,10,0.000084,99355,8,99351,7141853,71.88,76118,12006,0.1577,2438629,32.0376,378.95 
2015,11,0.000088,99347,9,99342,7042502,70.89,74110,11999,0.1619,2362511,31.8783,377.04 
2015,12,0.000100,99338,10,99333,6943160,69.89,72156,11993,0.1662,2288401,31.7148,375.08 
2015,13,0.000120,99328,12,99322,6843827,68.90,70252,11986,0.1706,2216245,31.5472,373.07 
2015,14,0.000147,99316,15,99309,6744504,67.91,68396,11978,0.1751,2145994,31.3758,371.01 
2015,15,0.000178,99302,18,99293,6645196,66.92,66589,11968,0.1797,2077597,31.2005,368.91 
2015,16,0.000210,99284,21,99273,6545903,65.93,64826,11957,0.1844,2011009,31.0215,366.76 
2015,17,0.000245,99263,24,99251,6446629,64.94,63109,11943,0.1893,1946182,30.8385,364.56 
2015,18,0.000280,99239,28,99225,6347379,63.96,61435,11928,0.1942,1883073,30.6517,362.32 
2015,19,0.000317,99211,31,99195,6248154,62.98,59803,11912,0.1992,1821639,30.4608,360.03 
2015,20,0.000355,99180,35,99162,6148958,62.00,58212,11893,0.2043,1761836,30.2658,357.69 
2015,21,0.000395,99144,39,99125,6049797,61.02,56662,11873,0.2095,1703624,30.0667,355.30 
2015,22,0.000430,99105,43,99084,5950672,60.04,55150,11851,0.2149,1646962,29.8633,352.86 
2015,23,0.000461,99062,46,99040,5851588,59.07,53677,11828,0.2204,1591812,29.6553,350.36 
2015,24,0.000488,99017,48,98993,5752548,58.10,52242,11804,0.2259,1538135,29.4426,347.81 
2015,25,0.000514,98969,51,98943,5653556,57.12,50844,11779,0.2317,1485893,29.2248,345.20 
2015,26,0.000543,98918,54,98891,5554613,56.15,49481,11754,0.2375,1435050,29.0018,342.52 
