Year,x,q(x),l(x),d(x),L(x),T(x),e(x),D(x),M(x),A(x),N(x),a(x),12a(x)
1900,0,0.119694,100000,11969,92047,4895677,48.96,100000,37339,0.3734,2383444,23.8344,280.51 
1900,1,0.036174,88031,3184,86438,4803630,54.57,85716,25684,0.2996,2283444,26.6396,314.17 
1900,2,0.017817,84846,1512,84090,4717192,55.60,80444,22665,0.2817,2197728,27.3201,322.34 
1900,3,0.012922,83334,1077,82796,4633101,55.60,76933,21269,0.2765,2117284,27.5211,324.75 
1900,4,0.010310,82258,848,81834,4550305,55.32,73943,20301,0.2746,2040351,27.5937,325.62 
1900,5,0.007611,81410,620,81100,4468472,54.89,71256,19559,0.2745,1966409,27.5963,325.66 
1900,6,0.005501,80790,444,80568,4387372,54.31,68855,19031,0.2764,1895152,27.5239,324.79 
1900,7,0.003987,80345,320,80185,4306804,53.60,66676,18662,0.2799,1826297,27.3907,323.19 
1900,8,0.003057,80025,245,79903,4226619,52.82,64664,18403,0.2846,1759622,27.2117,321.04 
1900,9,0.002648,79781,211,79675,4146716,51.98,62772,18211,0.2901,1694958,27.0020,318.52 
1900,10,0.002641,79569,210,79464,4067041,51.11,60959,18049,0.2961,1632186,26.7750,315.80 
1900,11,0.002868,79359,228,79245,3987577,50.25,59200,17892,0.3022,1571227,26.5410,312.99 
1900,12,0.003138,79132,248,79007,3908332,49.39,57478,17727,0.3084,1512027,26.3060,310.17 
1900,13,0.003322,78883,262,78752,3829324,48.54,55792,17551,0.3146,1454548,26.0711,307.35 
1900,14,0.003462,78621,272,78485,3750572,47.70,54144,17371,0.3208,1398757,25.8338,304.51 
1900,15,0.003704,78349,290,78204,3672087,46.87,52538,17188,0.3272,1344612,25.5930,301.62 
1900,16,0.004106,78059,321,77898,3593883,46.04,50968,16999,0.3335,1292074,25.3509,298.71 
1900,17,0.004564,77738,355,77561,3515985,45.23,49424,16795,0.3398,1241106,25.1115,295.84 
1900,18,0.005063,77383,392,77187,3438424,44.43,47905,16575,0.3460,1191682,24.8760,293.01 
1900,19,0.005582,76992,430,76777,3361236,43.66,46409,16339,0.3521,1143777,24.6454,290.25 
