Year,x,q(x),l(x),d(x),L(x),T(x),e(x),D(x),M(x),A(x),N(x),a(x),12a(x)
2015,0,0.006096,100000,610,99465,7671049,76.71,100000,14542,0.1454,3250567,32.5057,384.57 
2015,1,0.000397,99390,39,99371,7571584,76.18,96777,13948,0.1441,3150567,32.5548,385.16 
2015,2,0.000268,99351,27,99338,7472213,75.21,94196,13911,0.1477,3053790,32.4196,383.54 
2015,3,0.000223,99324,22,99313,7372876,74.23,91695,13886,0.1514,2959594,32.2766,381.82 
2015,4,0.000174,99302,17,99293,7273563,73.25,89264,13867,0.1553,2867899,32.1283,380.04 
2015,5,0.000152,99285,15,99277,7174269,72.26,86902,13851,0.1594,2778635,31.9743,378.19 
2015,6,0.000135,99270,13,99263,7074992,71.27,84605,13839,0.1636,2691733,31.8154,376.28 
2015,7,0.000121,99256,12,99250,6975729,70.28,82369,13827,0.1679,2607128,31.6517,374.32 
2015,8,0.000106,99244,11,99239,6876478,69.29,80194,13818,0.1723,2524759,31.4831,372.30 
2015,9,0.000092,99234,9,99229,6777239,68.30,78077,13809,0.1769,2444565,31.3095,370.21 
2015,10,0.000084,99225,8,99220,6678010,67.30,76018,13802,0.1816,2366487,31.1307,368.07 
2015,11,0.000091,99216,9,99212,6578790,66.31,74013,13796,0.1864,2290470,30.9469,365.86 
2015,12,0.000123,99207,12,99201,6479578,65.31,72061,13790,0.1914,2216457,30.7582,363.60 
2015,13,0.000186,99195,18,99186,6380377,64.32,70157,13781,0.1964,2144396,30.5655,361.29 
2015,14,0.000274,99176,27,99163,6281191,63.33,68300,13768,0.2016,2074239,30.3694,358.93 
2015,15,0.000368,99149,37,99131,6182028,62.35,66486,13750,0.2068,2005938,30.1706,356.55 
2015,16,0.000465,99113,46,99090,6082897,61.37,64715,13726,0.2121,1939452,29.9693,354.13 
2015,17,0.000575,99067,57,99038,5983807,60.40,62984,13697,0.2175,1874737,29.7653,351.68 
2015,18,0.000698,99010,69,98975,5884769,59.44,61293,13662,0.2229,1811753,29.5589,349.21 
2015,19,0.000829,98941,82,98900,5785794,58.48,59640,13620,0.2284,1750460,29.3505,346.71 
2015,20,0.000967,98859,96,98811,5686894,57.53,58024,13572,0.2339,1690821,29.1402,344.18 
2015,21,0.001098,98763,108,98709,5588083,56.58,56444,13517,0.2395,1632797,28.9279,341.64 
2015,22,0.001199,98655,118,98595,5489375,55.64,54899,13457,0.2451,1576353,28.7135,339.06 
2015,23,0.001258,98536,124,98474,5390779,54.71,53392,13393,0.2508,1521454,28.4959,336.45 
