Year,x,q(x),l(x),d(x),L(x),T(x),e(x),D(x),M(x),A(x),N(x),a(x),12a(x)
1900,0,0.145957,100000,14596,90026,4640591,46.41,100000,39810,0.3981,2289433,22.8943,269.23 
1900,1,0.038141,85404,3257,83776,4550564,53.28,83159,25598,0.3078,2189433,26.3283,310.44 
1900,2,0.019578,82147,1608,81343,4466789,54.38,77884,22510,0.2890,2106274,27.0436,319.02 
1900,3,0.013529,80539,1090,79994,4385446,54.45,74352,21025,0.2828,2028389,27.2809,321.87 
1900,4,0.010797,79449,858,79020,4305452,54.19,71418,20046,0.2807,1954037,27.3606,322.83 
1900,5,0.007940,78591,624,78279,4226432,53.78,68790,19295,0.2805,1882619,27.3678,322.91 
1900,6,0.005699,77967,444,77745,4148152,53.20,66449,18763,0.2824,1813830,27.2965,322.06 
1900,7,0.004073,77523,316,77365,4070407,52.51,64334,18395,0.2859,1747381,27.1613,320.44 
1900,8,0.003047,77207,235,77090,3993042,51.72,62387,18139,0.2908,1683047,26.9775,318.23 
1900,9,0.002555,76972,197,76874,3915953,50.88,60562,17954,0.2965,1620660,26.7604,315.63 
1900,10,0.002483,76775,191,76680,3839079,50.00,58819,17804,0.3027,1560098,26.5237,312.78 
1900,11,0.002670,76585,204,76482,3762399,49.13,57130,17661,0.3091,1501279,26.2781,309.84 
1900,12,0.002935,76380,224,76268,3685916,48.26,55480,17513,0.3157,1444149,26.0301,306.86 
1900,13,0.003153,76156,240,76036,3609648,47.40,53863,17354,0.3222,1388669,25.7816,303.88 
1900,14,0.003355,75916,255,75789,3533612,46.55,52281,17189,0.3288,1334806,25.5312,300.87 
1900,15,0.003673,75661,278,75522,3457824,45.70,50736,17018,0.3354,1282525,25.2784,297.84 
1900,16,0.004149,75383,313,75227,3382302,44.87,49221,16837,0.3421,1231789,25.0258,294.81 
1900,17,0.004676,75071,351,74895,3307075,44.05,47728,16638,0.3486,1182568,24.7773,291.83 
1900,18,0.005233,74720,391,74524,3232180,43.26,46256,16421,0.3550,1134840,24.5340,288.91 
